grupo;posicao;selecao;j;v;e;d;gp;gc;sg;pts
A;1;Argentina;0;0;0;0;0;0;0;0
A;2;Bolívia;0;0;0;0;0;0;0;0
A;3;Brasil;0;0;0;0;0;0;0;0
A;4;Equador;0;0;0;0;0;0;0;0
B;1;Alemanha;0;0;0;0;0;0;0;0
B;2;Espanha;0;0;0;0;0;0;0;0
B;3;Japão;0;0;0;0;0;0;0;0
B;4;Marrocos;0;0;0;0;0;0;0;0
C;1;Bélgica;0;0;0;0;0;0;0;0
C;2;Colômbia;0;0;0;0;0;0;0;0
C;3;França;0;0;0;0;0;0;0;0
C;4;Polônia;0;0;0;0;0;0;0;0
D;1;Camarões;0;0;0;0;0;0;0;0
D;2;Inglaterra;0;0;0;0;0;0;0;0
D;3;Portugal;0;0;0;0;0;0;0;0
D;4;Uruguai;0;0;0;0;0;0;0;0
E;1;Arábia Saudita;0;0;0;0;0;0;0;0
E;2;Croácia;0;0;0;0;0;0;0;0
E;3;Holanda;0;0;0;0;0;0;0;0
E;4;México;0;0;0;0;0;0;0;0
F;1;Coreia do Sul;0;0;0;0;0;0;0;0
F;2;Itália;0;0;0;0;0;0;0;0
F;3;Suíça;0;0;0;0;0;0;0;0
F;4;Tunísia;0;0;0;0;0;0;0;0
G;1;Camarões;0;0;0;0;0;0;0;0
G;2;Canadá;0;0;0;0;0;0;0;0
G;3;EUA;0;0;0;0;0;0;0;0
G;4;Sérvia;0;0;0;0;0;0;0;0
H;1;Austrália;0;0;0;0;0;0;0;0
H;2;Dinamarca;0;0;0;0;0;0;0;0
H;3;Ghana;0;0;0;0;0;0;0;0
H;4;Senegal;0;0;0;0;0;0;0;0
I;1;Costa do Marfim;0;0;0;0;0;0;0;0
I;2;Hungria;0;0;0;0;0;0;0;0
I;3;Nigeria;0;0;0;0;0;0;0;0
J;1;Escócia;0;0;0;0;0;0;0;0
J;2;Peru;0;0;0;0;0;0;0;0
J;3;Turquia;0;0;0;0;0;0;0;0
J;4;Ucrânia;0;0;0;0;0;0;0;0
K;1;Egito;0;0;0;0;0;0;0;0
K;2;Eslováquia;0;0;0;0;0;0;0;0
K;3;Irã;0;0;0;0;0;0;0;0
K;4;Venezuela;0;0;0;0;0;0;0;0
L;1;Costa Rica;0;0;0;0;0;0;0;0
L;2;Cuba;0;0;0;0;0;0;0;0
L;3;Noruega;0;0;0;0;0;0;0;0
L;4;Rep. Checa;0;0;0;0;0;0;0;0
