id;nome;grupo;ativo;
1;África do Sul;A;true;
2;México;A;true;
3;República Tcheca;A;true;
4;Coreia do Sul;A;true;
5;Canadá;B;true;
6;Suíça;B;true;
7;Catar;B;true;
8;Bósnia;B;true;
9;Brasil;C;true;
10;Marrocos;C;true;
11;Escócia;C;true;
12;Haiti;C;true;
13;Austrália;D;true;
14;Estados Unidos;D;true;
15;Paraguai;D;true;
16;Turquia;D;true;
17;Alemanha;E;true;
18;Equador;E;true;
19;Costa do Marfim;E;true;
20;Curaçao;E;true;
21;Holanda;F;true;
22;Japão;F;true;
23;Tunísia;F;true;
24;Suécia;F;true;
25;Bélgica;G;true;
26;Irã;G;true;
27;Egito;G;true;
28;Nova Zelândia;G;true;
29;Arábia Saudita;H;true;
30;Espanha;H;true;
31;Uruguai;H;true;
32;Cabo Verde;H;true;
33;França;I;true;
34;Senegal;I;true;
35;Noruega;I;true;
36;Iraque;I;true;
37;Áustria;J;true;
38;Argélia;J;true;
39;Argentina;J;true;
40;Jordânia;J;true;
41;Portugal;K;true;
42;Colômbia;K;true;
43;Uzbequistão;K;true;
44;República do Congo;K;true;
45;Inglaterra;L;true;
46;Croácia;L;true;
47;Panamá;L;true;
48;Gana;L;true;
